Service Name,Criteria 1,Criteria 2,Retention Consideration,Storage Class/Tier,Compliance Notes,Cost Comparison vs Active
EC2,AMI marked for long-term retention,No recent instance launches from AMI in 180+ days,Disaster recovery or compliance image retention (1-3 years),EBS-backed AMI snapshot storage,Golden images for compliance or DR - SOC2 audit trail,Storage-only cost for EBS snapshots vs running instance ($$$)
RDS,Automated backup enabled + snapshot retention policy,Snapshot age > 90 days with no restore activity,35 days automated backup + long-term manual snapshots (7 years for financial),Cross-region snapshot replication for DR,Point-in-time recovery for compliance - HIPAA/SOC2 compliant backups,Storage-only cost (~$0.095/GB-month) vs running instance cost
DynamoDB,Point-in-time recovery enabled,On-demand backup age > 90 days,35 days PITR + long-term on-demand backups (7 years for compliance),Point-in-time recovery backups or On-demand backups (S3),Backup and restore for compliance - no impact on table performance,Backup storage ~$0.10/GB-month vs table provisioned cost
S3,Lifecycle policy = Glacier or Deep Archive,Access frequency < 1/year,7+ years retention for compliance archives,S3 Glacier Deep Archive,HIPAA/SOC2 compliant - immutable backups with object lock,~95% cheaper than S3 Standard ($0.00099/GB vs $0.023/GB)
Lambda,Function version archived (not $LATEST),Version not invoked in 180 days,Retain old versions for audit trail (1-2 years),Versioned function storage (S3-backed),Audit trail for code changes - minimal storage cost,Negligible cost (~$0.00001/GB-month for code storage)
EBS,Snapshot age > 180 days,No recent restore or attachment activity,180 days minimum for disaster recovery (3-5 years for compliance),Standard snapshot storage (incremental EBS snapshots),Disaster recovery snapshots - immutable if needed - SOC2,~$0.05/GB-month vs $0.10/GB-month for attached volume
ElastiCache,Backup enabled (Redis only),Backup age > 7 days with no restore activity,Limited retention - Redis backups only (30-90 days),Standard RDB backup storage (S3),Disaster recovery for Redis - not applicable for Memcached,Backup storage cost (~$0.023/GB-month) vs running cluster cost
ECS,Task definition archived versions retained,No recent task launches from definition (90+ days),Retain for compliance/audit trail (1-3 years),Task definition storage (no cost - stored in ECS),Container definition audit trail - no additional storage cost,No additional cost for archived task definitions
EKS,etcd backup enabled,Backup age > 30 days with no restore activity,Cluster state backup for DR (1-3 years),etcd snapshot stored in S3 with Glacier transition,Kubernetes cluster disaster recovery - SOC2 compliant,S3 Glacier storage cost vs active cluster (~$0.10/hour per cluster)
Redshift,Automated snapshot enabled,Snapshot age > 7 days with no restore activity,Automated + manual snapshots for data warehouse (7 years financial),Cross-region snapshot copy for DR,Data warehouse compliance backups - SOC2/PCI-DSS,Storage cost (~$0.024/GB-month compressed) vs active cluster
CloudFront,Access logs > 365 days old,No recent distribution traffic or config changes,Multi-year CDN access log retention (1-7 years),S3 Glacier for log archives,CDN access logs for compliance - SOC2/PCI-DSS audit,S3 Glacier storage vs CloudWatch Logs retention pricing
API Gateway,Access logs > 365 days old,API usage frequency < 1/month,Multi-year API audit trail (7 years),CloudWatch Logs exported to S3 Glacier,API access logs for compliance - SOC2/PCI-DSS audit trail,S3 Glacier much cheaper than active CloudWatch Logs retention
VPC,Flow logs > 365 days old,No recent traffic through VPC resources,Network audit trail retention (1-7 years for compliance),S3 Glacier for flow log archives,Network traffic audit logs - SOC2/PCI-DSS/HIPAA,S3 Glacier storage cost vs CloudWatch Logs retention
NAT Gateway,Flow logs > 365 days old,No recent outbound traffic activity,Network audit log retention (1-3 years),S3 Glacier for flow log archives,Network compliance audit trail - SOC2,S3 Glacier much cheaper than active NAT Gateway ($0.045/hour)
Elastic Load Balancer,Access logs > 365 days old,No recent traffic requests,Load balancer access log retention (1-7 years),S3 Glacier for access log archives,Access logs for compliance auditing - SOC2/PCI-DSS,S3 Glacier storage cost vs active ELB hourly charges
