Service Name,Criteria 1,Criteria 2,Criteria 3,Time Window,Cost Impact,CloudWatch Metrics Required,API Calls Required,Recommendation
EC2,CPUUtilization < 5%,NetworkIn < 100KB/day AND NetworkOut < 100KB/day,State = running,Last 7 days,High,CPUUtilization NetworkIn NetworkOut,ec2:DescribeInstances ec2:DescribeInstanceStatus,Stop instance (if needed later) or Terminate (if no longer needed) - High hourly cost waste
RDS,DatabaseConnections = 0,ReadIOPS = 0 AND WriteIOPS = 0,DBInstanceStatus = available,Last 7 days,High,DatabaseConnections ReadIOPS WriteIOPS,rds:DescribeDBInstances,Stop instance (if needed later) or Delete (if no longer needed) - High hourly cost waste
DynamoDB,ConsumedReadCapacityUnits = 0,ConsumedWriteCapacityUnits = 0,TableStatus = ACTIVE,Last 30 days,Low,ConsumedReadCapacityUnits ConsumedWriteCapacityUnits,dynamodb:ListTables dynamodb:DescribeTable,Delete unused table or switch to on-demand - Provisioned capacity waste
S3,GetRequests = 0 AND PutRequests = 0,NumberOfObjects = 0 OR BucketSizeBytes = 0,Bucket exists,Last 30 days,Low,GetRequests PutRequests NumberOfObjects BucketSizeBytes,s3:ListBuckets s3:ListObjectsV2,Delete empty bucket or apply lifecycle policy - Minimal cost but cleanup
Lambda,Invocations = 0,Errors = 0 (no activity),FunctionExists = true,Last 30 days,Low,Invocations Errors,lambda:ListFunctions,Delete unused function - No cost when not invoked but cleanup
EBS,VolumeReadOps = 0,VolumeWriteOps = 0,State = available (unattached),Last 14 days,Medium,VolumeReadOps VolumeWriteOps,ec2:DescribeVolumes,Delete unattached volume if not needed - Storage cost waste
ElastiCache,CPUUtilization < 5%,CacheHits = 0,ClusterStatus = available,Last 7 days,Medium,CPUUtilization CacheHits NetworkBytesIn,elasticache:DescribeCacheClusters,Delete cluster if unused - Node hour charges even when idle
ECS,RunningTasksCount = 0,CPUUtilization = 0 (no tasks),ClusterStatus = ACTIVE,Last 7 days,Medium,RunningTasksCount CPUUtilization,ecs:ListClusters ecs:DescribeClusters,Delete empty cluster - No cost for cluster itself but clean up unused resources
EKS,DesiredNodeCount = 0 OR RunningPodCount = 0,NodeGroupStatus = inactive OR no active pods,ClusterStatus = ACTIVE,Last 7 days,High,CPUUtilization MemoryUtilization,eks:DescribeCluster eks:ListNodegroups,Delete cluster if no workloads - Control plane + node costs
Redshift,DatabaseConnections = 0,QueriesCompletedPerSecond = 0,ClusterStatus = available,Last 3 days,High,DatabaseConnections QueriesCompletedPerSecond CPUUtilization,redshift:DescribeClusters,Delete cluster if unused - Very high hourly cost even when idle
