"Service Name","Criteria 1","Criteria 2","Criteria 3","Time Window","Optimization Recommendation","Potential Cost Savings","CloudWatch Metrics Required","API Calls Required"
"EC2","CPUUtilization < 30%","NetworkIn < 10MB/day","State = running","Last 14 days","Downsize to smaller instance type or switch to burstable (t3/t4g)","30-50%","CPUUtilization NetworkIn NetworkOut","ec2:DescribeInstances cloudwatch:GetMetricStatistics"
"RDS","CPUUtilization < 40%","DatabaseConnections < 20% of max_connections","DatabaseConnections > 0","Last 14 days","Reduce instance class or switch to Aurora Serverless v2","40-60%","CPUUtilization DatabaseConnections FreeableMemory ReadIOPS WriteIOPS","rds:DescribeDBInstances rds:DescribeDBClusters"
"DynamoDB","ConsumedReadCapacityUnits < 30% of provisioned","ConsumedWriteCapacityUnits < 30% of provisioned","TableStatus = ACTIVE","Last 30 days","Switch to on-demand billing or reduce provisioned capacity","50-70%","ConsumedReadCapacityUnits ConsumedWriteCapacityUnits ProvisionedReadCapacityUnits ProvisionedWriteCapacityUnits","dynamodb:DescribeTable"
"S3","GetRequests < 10/month per prefix","BucketSizeBytes mostly infrequent access","BucketSizeBytes > 0","Last 90 days","Apply lifecycle policy to move to S3 Intelligent-Tiering or Glacier","70-90%","GetRequests NumberOfObjects BucketSizeBytes","s3:GetBucketLifecycleConfiguration s3:GetBucketLocation"
"Lambda","MaxMemoryUsed < 50% of allocated","Duration < 30% of timeout","Invocations > 100/day","Last 30 days","Reduce memory allocation - cost scales linearly with memory","20-40%","MaxMemoryUsed Duration Invocations","lambda:GetFunction lambda:GetFunctionConfiguration"
"EBS","VolumeReadOps < 100/day","VolumeType = io1 with low IOPS usage","VolumeState = in-use","Last 14 days","Switch from io1 to gp3 or reduce provisioned IOPS","30-40%","VolumeReadOps VolumeWriteOps BurstBalance VolumeIdleTime","ec2:DescribeVolumes cloudwatch:GetMetricStatistics"
"ElastiCache","CPUUtilization < 30%","CacheHitRate > 80% but node oversized","NetworkBytesIn > 0","Last 14 days","Reduce node type from cache.r5.xlarge to cache.r5.large","30-50%","CPUUtilization CacheHitRate NetworkBytesIn CurrConnections","elasticache:DescribeCacheClusters"
"ECS","Task CPUUtilization < 30%","Task MemoryUtilization < 40%","DesiredCount > 0","Last 14 days","Reduce Fargate vCPU/memory in task definition","30-50%","CPUUtilization MemoryUtilization","ecs:DescribeTasks ecs:DescribeServices"
"EKS","Node CPUUtilization < 30%","Node MemoryUtilization < 40%","pod_number_of_container_restarts = 0","Last 14 days","Use smaller node types or enable Cluster Autoscaler","30-50%","N/A (use kubectl metrics-server)","eks:DescribeNodegroup"
"Redshift","CPUUtilization < 40%","QueriesCompletedPerSecond low","DatabaseConnections > 0","Last 14 days","Reduce cluster size or switch to Redshift Serverless","40-60%","CPUUtilization QueriesCompletedPerSecond DatabaseConnections","redshift:DescribeClusters"
