Service Name,Metric Type,Active Threshold,Idle Threshold,Underutilized Threshold,Unit,Recommended Evaluation Period
EC2,CPUUtilization,> 10%,< 5%,< 30%,Percent,7 days
RDS,DatabaseConnections,> 0,= 0,< 40% CPU utilization,Count,7 days
DynamoDB,ConsumedReadCapacityUnits,> 0,= 0,< 30% of provisioned,Units,30 days
S3,GetRequests,> 100/day,= 0,< 10/month per prefix,Count,90 days
Lambda,Invocations,> 10/day,= 0,< 50% max memory used,Count,30 days
EBS,VolumeReadOps,> 100/day,= 0,< 100/day,Count,14 days
ElastiCache,CPUUtilization,> 10%,< 5%,< 30%,Percent,14 days
ECS,RunningTasksCount,> 0,= 0,< 30% task CPU utilization,Count,14 days
EKS,DesiredNodeCount,> 0,= 0,< 30% node CPU utilization,Count,14 days
Redshift,DatabaseConnections,> 0,= 0,< 40% CPU utilization,Count,14 days
CloudFront,Requests,> 1000/day,= 0,< 10000/day,Count/Day,30 days
API Gateway,Count (requests),> 100/day,= 0,Low usage with provisioned cache,Count/Day,14 days
VPC,AttachedResources,Attached resources exist,No active resources attached,N/A,N/A,30 days
NAT Gateway,BytesOutToDestination,> 1GB/day,< 100MB/day,< 1GB/day,Bytes/Day,7 days
Elastic Load Balancer,ActiveConnectionCount,> 10,= 0,< 100,Count,14 days
Route 53,DNSQueries,> 1000/day,< 10/day,N/A,Count/Day,30 days
CloudWatch,MetricCount,> 0,= 0,N/A,Count,30 days
CloudTrail,EventCount,> 100/day,= 0,N/A,Count,30 days
IAM,N/A - Identity service,Users/Roles used within 90 days,N/A,N/A,N/A,90 days
KMS,NumberOfDecryptCalls,> 0,= 0,Key enabled with low API calls,Count,30 days
Secrets Manager,GetSecretValue API calls,> 0,= 0,Low rotation frequency,Count,30 days
SNS,NumberOfMessagesPublished,> 100/day,= 0,< 100/day,Count/Day,30 days
SQS,NumberOfMessagesSent,> 10/day,= 0,< 100/day,Count/Day,30 days
Kinesis,IncomingRecords,> 1000/day,= 0,Iterator age low (shard over-provisioned),Count,14 days
Athena,DataScannedInBytes,> 1GB/day,= 0,Low total execution time,Bytes/Day,30 days
Glue,JobRuns,> 0,= 0,< 30% of max capacity per job run,Count,30 days
EMR,ClusterState,RUNNING or WAITING,WAITING > 3 days,< 40% core node CPU,N/A,14 days
SageMaker,Invocations,> 100/day,= 0,< 30% CPU on endpoint,Count,14 days
Step Functions,ExecutionsStarted,> 10/day,= 0,< 10/day,Count/Day,30 days
EFS,ClientConnections,> 0,= 0,< 1GB/day data read,Count,30 days
FSx,DataReadBytes,> 1GB/day,= 0,< 1GB/day,Bytes/Day,14 days
Backup,BackupJobsCompleted,> 0,= 0,Low relative to backup plan,Count,30 days
CloudFormation,StackStatus,CREATE_COMPLETE or UPDATE_COMPLETE,ROLLBACK_COMPLETE or no updates,N/A,N/A,90 days
Config,ConfigurationRecorderStatus,Recording,= 0 rules evaluated,N/A,N/A,30 days
Systems Manager,RunCommandInvocations,> 0,= 0,N/A,Count,14 days
WorkSpaces,ConnectionAttempts,AVAILABLE state,= 0 connections,< 30% CPU usage,Count,14 days
AppStream,ActiveSessions,Fleet RUNNING,= 0 sessions,ActualCapacity > MaxUserCapacity * 1.5,Count,14 days
Direct Connect,BytesIn,ConnectionState = available,< 1MB/day,< 30% bandwidth utilization,Bytes/Day,7 days
VPN,TunnelDataIn,Tunnel UP,< 10MB/day,< 100MB/day,Bytes/Day,14 days
Transit Gateway,BytesIn,> 1GB/day,< 100MB/day,< 1GB/day,Bytes/Day,14 days
DocumentDB,DatabaseConnections,> 0,= 0,< 40% CPU utilization,Count,14 days
Neptune,Queries,> 100/day,= 0,< 40% CPU utilization,Count/Day,14 days
Timestream,SuccessfulRequestLatency,Active queries,No queries,Low system errors,Milliseconds,30 days
QLDB,UserRequests,> 0,= 0,Low command latency,Count,30 days
Keyspaces,ReadCapacityUnits,> 0,= 0,< 30% of provisioned,Units,30 days
MemoryDB,Commands,> 1000/day,= 0,< 30% CPU utilization,Count,14 days
OpenSearch,SearchRate,> 100/day,= 0,< 40% CPU utilization,Count/Day,14 days
MSK,BytesInPerSec,> 1MB/sec,= 0,< 30% CPU user,Bytes/Sec,14 days
EventBridge,Invocations,> 100/day,= 0,< 100/day,Count/Day,30 days
AppFlow,FlowExecutionsStarted,> 0,= 0,< 5/day,Count,30 days
DataSync,TaskExecutions,> 0,= 0,< 1GB/day bytes transferred,Count,30 days
Transfer Family,BytesIn,> 1GB/day,= 0,< 100MB/day,Bytes/Day,30 days
Storage Gateway,CloudBytesUploaded,> 1GB/day,= 0,CacheHitPercent > 80% but gateway oversized,Bytes/Day,14 days
Lightsail,CPUUtilization,Instance running,< 2%,< 30%,Percent,14 days
CodeBuild,Builds,> 10/month,= 0,< 30% of build timeout duration,Count,30 days
CodePipeline,PipelineExecutions,> 5/month,= 0,N/A,Count,30 days
CodeDeploy,Deployments,> 5/month,= 0,N/A,Count,30 days
CodeCommit,GitPushes,> 5/month,= 0,N/A,Count,30 days
CodeArtifact,PackageDownloads,> 100/month,= 0,N/A,Count,30 days
ECR,ImagePush,> 5/month,= 0,N/A,Count,30 days
Amplify,BuildMinutes,> 0,= 0,N/A,Minutes,30 days
Cloud9,EnvironmentStatus,Running,= 0 user activity,N/A,N/A,14 days
X-Ray,TracesIndexed,> 100/day,= 0,N/A,Count/Day,30 days
