Service Name,AWS API/Service to Use,Key Metrics to Collect,Sample API Call/CLI Command,IAM Permissions Required,Monitoring Frequency Recommendation
EC2,EC2 API + CloudWatch,CPUUtilization NetworkIn NetworkOut DiskReadOps DiskWriteOps StatusCheckFailed,"aws ec2 describe-instances --filters Name=instance-state-name,Values=running",ec2:DescribeInstances ec2:DescribeInstanceStatus cloudwatch:GetMetricStatistics,Every 6 hours
RDS,RDS API + CloudWatch + Performance Insights,CPUUtilization DatabaseConnections ReadIOPS WriteIOPS FreeableMemory ReadLatency WriteLatency,aws rds describe-db-instances,rds:DescribeDBInstances rds:DescribeDBClusters cloudwatch:GetMetricStatistics pi:GetResourceMetrics,Every 6 hours
DynamoDB,DynamoDB API + CloudWatch,ConsumedReadCapacityUnits ConsumedWriteCapacityUnits ProvisionedReadCapacityUnits ProvisionedWriteCapacityUnits UserErrors SystemErrors,aws dynamodb list-tables && aws dynamodb describe-table --table-name TABLE_NAME,dynamodb:ListTables dynamodb:DescribeTable cloudwatch:GetMetricStatistics,Every 6 hours
S3,S3 API + CloudWatch + S3 Storage Lens,BucketSizeBytes NumberOfObjects GetRequests PutRequests DeleteRequests,aws s3api list-buckets && aws s3api get-bucket-location --bucket BUCKET_NAME,s3:ListAllMyBuckets s3:GetBucketLocation s3:GetBucketLifecycleConfiguration cloudwatch:GetMetricStatistics,Every 24 hours
Lambda,Lambda API + CloudWatch Logs,Invocations Duration Errors Throttles ConcurrentExecutions,"aws lambda list-functions --query Functions[*].[FunctionName,State,Runtime]",lambda:ListFunctions lambda:GetFunction lambda:GetFunctionConfiguration cloudwatch:GetMetricStatistics logs:DescribeLogStreams,Every 12 hours
EBS,EC2 API + CloudWatch,VolumeReadOps VolumeWriteOps VolumeIdleTime BurstBalance,aws ec2 describe-volumes,ec2:DescribeVolumes cloudwatch:GetMetricStatistics,Every 24 hours
ElastiCache,ElastiCache API + CloudWatch,CPUUtilization CacheHits CacheMisses NetworkBytesIn Evictions,aws elasticache describe-cache-clusters,elasticache:DescribeCacheClusters cloudwatch:GetMetricStatistics,Every 6 hours
ECS,ECS API + CloudWatch,CPUUtilization MemoryUtilization RunningTasksCount,aws ecs list-clusters && aws ecs describe-clusters --clusters CLUSTER_NAME,ecs:ListClusters ecs:DescribeClusters ecs:ListTasks ecs:DescribeTasks cloudwatch:GetMetricStatistics,Every 6 hours
EKS,EKS API + CloudWatch,cluster_node_count pod_number_of_running_pods,aws eks list-clusters && aws eks describe-cluster --name CLUSTER_NAME,eks:ListClusters eks:DescribeCluster eks:DescribeNodegroup cloudwatch:GetMetricStatistics,Every 6 hours
Redshift,Redshift API + CloudWatch,CPUUtilization DatabaseConnections QueriesCompletedPerSecond HealthStatus,aws redshift describe-clusters,redshift:DescribeClusters cloudwatch:GetMetricStatistics,Every 3 hours
