Service Name,Category Type,Active Criteria,Idle Criteria,Underutilized Criteria,Archived Criteria,Primary Metrics Source,Notes
EC2,Compute,CPUUtilization > 10% OR NetworkIn/Out > 1MB/day,CPUUtilization < 2% AND NetworkIn/Out < 100KB/day for 7+ days,CPUUtilization 2-10% OR consistent low network activity,N/A - Use snapshots/AMIs for archival,CloudWatch Metrics,Consider instance family and workload type
RDS,Database,DatabaseConnections > 0 OR ReadIOPS/WriteIOPS > 0,DatabaseConnections = 0 for 7+ days AND IOPS < 10,Low connection count (< 5) OR IOPS < 20% of provisioned,Automated snapshots older than retention policy,CloudWatch + RDS API,Check for read replicas
DynamoDB,Database,ConsumedReadCapacityUnits > 0 OR ConsumedWriteCapacityUnits > 0,Zero consumed capacity for 7+ days,Consumed capacity < 10% of provisioned (for provisioned mode),N/A - Use backups for archival,CloudWatch Metrics,On-demand vs provisioned billing
S3,Storage,Requests > 100/day (GET/PUT/POST),No access logs for 90+ days,AccessFrequency < monthly OR wrong storage class,Glacier/Deep Archive storage class OR versioned objects,S3 Analytics + CloudWatch,Use S3 Intelligent-Tiering
Lambda,Compute,Invocations > 0 in last 7 days,Zero invocations for 30+ days,High duration with low memory usage OR errors > 10%,N/A - Delete unused functions,CloudWatch Metrics,Check concurrent executions
EBS,Storage,VolumeReadOps > 0 OR VolumeWriteOps > 0,Zero read/write ops for 7+ days AND not attached,Low IOPS utilization compared to provisioned,Snapshots older than 90 days,CloudWatch Metrics,Unattached volumes are idle
ElastiCache,Database,CPUUtilization > 10% OR CacheHits > 0,CPUUtilization < 5% AND CacheHitRate = 0 for 7+ days,CacheHitRate < 50% OR CPUUtilization 5-10%,N/A - Use snapshots for recovery,CloudWatch Metrics,Redis vs Memcached differences
ECS,Container,RunningTasksCount > 0,RunningTasksCount = 0 for 7+ days,CPUUtilization < 20% on running tasks,N/A - Task definitions retained,CloudWatch + ECS API,Check Fargate vs EC2 launch type
EKS,Container,Node count > 0 AND pod count > 0,No pods running for 7+ days,Node utilization < 30% OR pods not scheduled,N/A - Clusters should be deleted,CloudWatch + Kubernetes API,Check node groups separately
Redshift,Data Warehouse,DatabaseConnections > 0 OR QueriesCompletedPerSecond > 0,No connections for 7+ days,CPUUtilization < 20% AND low query volume,Snapshots for compliance/recovery,CloudWatch + Redshift API,Expensive when idle
CloudFront,Networking,Requests > 1000/day,Requests < 10/day for 30+ days,Low request volume but high data transfer costs,N/A - Distributions can be disabled,CloudWatch Metrics,Check cache hit ratio
API Gateway,Networking,Count > 100/day,Zero API calls for 30+ days,Low call volume with high allocated resources,N/A - APIs can be deleted,CloudWatch Metrics + API Gateway API,REST vs HTTP vs WebSocket
VPC,Networking,Attached resources (EC2 NAT IGW) exist,No attached resources for 30+ days,Default VPC with minimal usage,N/A - VPCs persist,VPC API,Check for unused subnets
NAT Gateway,Networking,BytesOutToDestination > 1GB/day,BytesOut < 100MB/day for 7+ days,Low data transfer but high hourly cost,N/A - Use NAT instances or remove,CloudWatch Metrics,High cost when underutilized
Elastic Load Balancer,Networking,ActiveConnectionCount > 0 OR RequestCount > 100/day,Zero connections/requests for 7+ days,Low request count (< 100/day) for ALB/NLB,N/A - Delete unused LBs,CloudWatch Metrics,ALB vs NLB vs CLB pricing
Route 53,Networking,QueryCount > 1000/day,QueryCount < 10/day for hosted zone,Hosted zones with no records or deleted domains,N/A - Hosted zones persist,CloudWatch Metrics,Check for unused hosted zones
CloudWatch,Monitoring,Metrics ingested OR alarms configured,No metrics ingested for 30+ days,Custom metrics with no alarms,N/A - Logs can be archived to S3,CloudWatch API,Log retention costs
CloudTrail,Security,EventCount > 0 (trails active),Trail disabled or no events for 30+ days,Single-region trail when multi-region needed,Logs archived to S3 Glacier,CloudWatch + CloudTrail API,Data events are expensive
IAM,Security,Users/Roles with recent activity (< 90 days),Users with no activity for 90+ days,Overly permissive policies,N/A - IAM is free,IAM Access Analyzer + CloudTrail,Credential reports for analysis
KMS,Security,Decrypt/Encrypt operations > 0,No operations for 90+ days,Low usage with customer-managed keys,N/A - Keys can be disabled,CloudWatch Metrics,Key rotation policies
Secrets Manager,Security,SecretVersions accessed in last 30 days,No access for 90+ days,Secrets with no rotation,N/A - Delete unused secrets,CloudWatch + Secrets Manager API,Rotation configuration
SNS,Messaging,NumberOfMessagesPublished > 0,Zero messages for 30+ days,Low message volume,N/A - Topics can be deleted,CloudWatch Metrics,Check subscriptions
SQS,Messaging,NumberOfMessagesSent > 0 OR ApproximateNumberOfMessagesVisible > 0,Zero messages sent/received for 30+ days,Messages in DLQ or high age,N/A - Queues can be deleted,CloudWatch Metrics,FIFO vs Standard
Kinesis,Streaming,IncomingRecords > 0 OR GetRecords.Success > 0,Zero records for 7+ days,Shard utilization < 20%,Data retention for compliance,CloudWatch Metrics,Shard-level metrics
